reviewer,description,rating,review_date,has_owner_review,owner_comment
Isabel Ursache,Zero customer service. Rude and awful staff.,1.0,vor 2 Wochen auf ,False,
Nadine,"Ich war an einem Wochenende für 2 Nächte beruflich in Berlin und hatte dieses Mal das Aspria gewählt, um Sport- und Saunamöglichkeiten zu haben.",2.0,vor 2 Wochen auf ,False,
Yana Kosturkova,Das beste Studio in Berlin!,5.0,vor 2 Stunden auf ,True,"Yana...wir freuen uns sehr über deine Rückmeldung und natürlich, dass wir dir immer wieder ein paar schöne Momente im Aspria Berlin bereiten können. "
Hayreddin Ali,"Hatte heute eine sehr unbefriedigende Club-Tour. Als wir beim Pool waren wurde ich gefragt, ob er mir gefällt, woraufhin ich antwortete, dass die Wände etwas trist wirken. Daraufhin wurde ich gefragt, ob ich die Club-Tour lieber abbrechen möchte. Ich sagte nein und man hat gemerkt, dass mein Club-Führer plötzlich sehr eingeschnappt wurde. Insgesamt wurde ich dann drei mal gefragt, ob ich die Tor abbrechen möchte.",1.0,vor 5 Tagen auf ,True,"Sehr geehrter Herr Ali,"
Marco Kretzschmann,"Sehr saubere, große und vor allem funktionale Zimmer. Der Fitness- und Wellnessbereich ist sehr gut auch wenn es teils sehr voll war. Wir waren auf jeden Fall begeistert und kommen bestimmt wieder.",5.0,vor 5 Tagen auf ,True,"Sehr geehrter Herr Kretzschmann,"
G&M,"Vor einigen Jahren, 5 Sterne, der beste, exklusivste Club der Stadt. Heute, sicher im Vergleich zu anderen Studios immer noch groß, mit vielfältigem Angebot aber seit einiger Zeit, trotz neuem Investor, wird peu a peu runtergespart. Geräte werden monatelang nicht repariert, die Sauberkeit lässt besonders im Trainingsbereich zu wünschen übrig, keine tägliche Reinigung mehr. Das Bistro hat inakzeptable Öffnungszeiten und ist auch nicht sehr kreativ, seit langer Zeit die gleiche aber verschlechterte Speisenkarte, ja, mit zwei wechselnden Wochenangeboten,  keine Events mehr ... sehr traurig.",3.0,vor einer Woche auf ,False,
theresa blechschmidt,"Ich bin begeistert! Sehr nette und hilfsbereite Mitarbeiter*innen. Schönes, großes Zimmer. Das einzige Manko ist, finde ich, dass das Bad nicht ein extra Raum ist. Aber ansonsten ein wunderbares Konzept - Hotel und Fitnessstudio in einem. Schöner großer, optimal temperierter Pool, tolles Kursangebot. Ich komme wieder!",5.0,vor einer Woche auf ,True,"Vielen Dank, dass Sie unser Gast waren und - wie es sich anhört - auch bald wieder sind. Wir freuen uns auf Sie und wünschen einen perfekten Start in ein neues Jahr. …"
Stephan Baresel,wellness und Sports in einer angenehmen Umgebung ! Herrlich ! War schön mal besser... viel besser...,4.0,vor einer Woche auf ,False,
bleki ova,"I recommend the place not only for fitness. Spa block is excellent, especially massage",5.0,vor 2 Wochen auf ,True,Thank you very much…my teams are doing best to please all my guests desires…hope to see you soon again.
Kana M.,The swimming pool is probably the best in town. Most of the staff are nice and helpful. Kids friendly facilities are big plus !,4.0,vor 2 Wochen auf ,True,We love to read that you had quality time at Aspria enjoying the day with your kids. …
Isabel Ursache,Zero customer service. Rude and awful staff.,1.0,vor 2 Wochen auf ,False,
Nadine,"Ich war an einem Wochenende für 2 Nächte beruflich in Berlin und hatte dieses Mal das Aspria gewählt, um Sport- und Saunamöglichkeiten zu haben.",2.0,vor 2 Wochen auf ,False,
Yana Kosturkova,Das beste Studio in Berlin!,5.0,vor 2 Stunden auf ,True,"Yana...wir freuen uns sehr über deine Rückmeldung und natürlich, dass wir dir immer wieder ein paar schöne Momente im Aspria Berlin bereiten können. "
Hayreddin Ali,"Hatte heute eine sehr unbefriedigende Club-Tour. Als wir beim Pool waren wurde ich gefragt, ob er mir gefällt, woraufhin ich antwortete, dass die Wände etwas trist wirken. Daraufhin wurde ich gefragt, ob ich die Club-Tour lieber abbrechen möchte. Ich sagte nein und man hat gemerkt, dass mein Club-Führer plötzlich sehr eingeschnappt wurde. Insgesamt wurde ich dann drei mal gefragt, ob ich die Tor abbrechen möchte.",1.0,vor 5 Tagen auf ,True,"Sehr geehrter Herr Ali,"
Marco Kretzschmann,"Sehr saubere, große und vor allem funktionale Zimmer. Der Fitness- und Wellnessbereich ist sehr gut auch wenn es teils sehr voll war. Wir waren auf jeden Fall begeistert und kommen bestimmt wieder.",5.0,vor 5 Tagen auf ,True,"Sehr geehrter Herr Kretzschmann,"
G&M,"Vor einigen Jahren, 5 Sterne, der beste, exklusivste Club der Stadt. Heute, sicher im Vergleich zu anderen Studios immer noch groß, mit vielfältigem Angebot aber seit einiger Zeit, trotz neuem Investor, wird peu a peu runtergespart. Geräte werden monatelang nicht repariert, die Sauberkeit lässt besonders im Trainingsbereich zu wünschen übrig, keine tägliche Reinigung mehr. Das Bistro hat inakzeptable Öffnungszeiten und ist auch nicht sehr kreativ, seit langer Zeit die gleiche aber verschlechterte Speisenkarte, ja, mit zwei wechselnden Wochenangeboten,  keine Events mehr ... sehr traurig.",3.0,vor einer Woche auf ,False,
theresa blechschmidt,"Ich bin begeistert! Sehr nette und hilfsbereite Mitarbeiter*innen. Schönes, großes Zimmer. Das einzige Manko ist, finde ich, dass das Bad nicht ein extra Raum ist. Aber ansonsten ein wunderbares Konzept - Hotel und Fitnessstudio in einem. Schöner großer, optimal temperierter Pool, tolles Kursangebot. Ich komme wieder!",5.0,vor einer Woche auf ,True,"Vielen Dank, dass Sie unser Gast waren und - wie es sich anhört - auch bald wieder sind. Wir freuen uns auf Sie und wünschen einen perfekten Start in ein neues Jahr. …"
Stephan Baresel,wellness und Sports in einer angenehmen Umgebung ! Herrlich ! War schön mal besser... viel besser...,4.0,vor einer Woche auf ,False,
bleki ova,"I recommend the place not only for fitness. Spa block is excellent, especially massage",5.0,vor 2 Wochen auf ,True,Thank you very much…my teams are doing best to please all my guests desires…hope to see you soon again.
Kana M.,The swimming pool is probably the best in town. Most of the staff are nice and helpful. Kids friendly facilities are big plus !,4.0,vor 2 Wochen auf ,True,We love to read that you had quality time at Aspria enjoying the day with your kids. …
Isabel Ursache,Zero customer service. Rude and awful staff.,1.0,vor 2 Wochen auf ,False,
Nadine,"Ich war an einem Wochenende für 2 Nächte beruflich in Berlin und hatte dieses Mal das Aspria gewählt, um Sport- und Saunamöglichkeiten zu haben.",2.0,vor 2 Wochen auf ,False,
Yana Kosturkova,Das beste Studio in Berlin!,5.0,vor 2 Stunden auf ,True,"Yana...wir freuen uns sehr über deine Rückmeldung und natürlich, dass wir dir immer wieder ein paar schöne Momente im Aspria Berlin bereiten können. "
Hayreddin Ali,"Hatte heute eine sehr unbefriedigende Club-Tour. Als wir beim Pool waren wurde ich gefragt, ob er mir gefällt, woraufhin ich antwortete, dass die Wände etwas trist wirken. Daraufhin wurde ich gefragt, ob ich die Club-Tour lieber abbrechen möchte. Ich sagte nein und man hat gemerkt, dass mein Club-Führer plötzlich sehr eingeschnappt wurde. Insgesamt wurde ich dann drei mal gefragt, ob ich die Tor abbrechen möchte.",1.0,vor 5 Tagen auf ,True,"Sehr geehrter Herr Ali,"
Marco Kretzschmann,"Sehr saubere, große und vor allem funktionale Zimmer. Der Fitness- und Wellnessbereich ist sehr gut auch wenn es teils sehr voll war. Wir waren auf jeden Fall begeistert und kommen bestimmt wieder.",5.0,vor 5 Tagen auf ,True,"Sehr geehrter Herr Kretzschmann,"
G&M,"Vor einigen Jahren, 5 Sterne, der beste, exklusivste Club der Stadt. Heute, sicher im Vergleich zu anderen Studios immer noch groß, mit vielfältigem Angebot aber seit einiger Zeit, trotz neuem Investor, wird peu a peu runtergespart. Geräte werden monatelang nicht repariert, die Sauberkeit lässt besonders im Trainingsbereich zu wünschen übrig, keine tägliche Reinigung mehr. Das Bistro hat inakzeptable Öffnungszeiten und ist auch nicht sehr kreativ, seit langer Zeit die gleiche aber verschlechterte Speisenkarte, ja, mit zwei wechselnden Wochenangeboten,  keine Events mehr ... sehr traurig.",3.0,vor einer Woche auf ,False,
theresa blechschmidt,"Ich bin begeistert! Sehr nette und hilfsbereite Mitarbeiter*innen. Schönes, großes Zimmer. Das einzige Manko ist, finde ich, dass das Bad nicht ein extra Raum ist. Aber ansonsten ein wunderbares Konzept - Hotel und Fitnessstudio in einem. Schöner großer, optimal temperierter Pool, tolles Kursangebot. Ich komme wieder!",5.0,vor einer Woche auf ,True,"Vielen Dank, dass Sie unser Gast waren und - wie es sich anhört - auch bald wieder sind. Wir freuen uns auf Sie und wünschen einen perfekten Start in ein neues Jahr. …"
Stephan Baresel,wellness und Sports in einer angenehmen Umgebung ! Herrlich ! War schön mal besser... viel besser...,4.0,vor einer Woche auf ,False,
bleki ova,"I recommend the place not only for fitness. Spa block is excellent, especially massage",5.0,vor 2 Wochen auf ,True,Thank you very much…my teams are doing best to please all my guests desires…hope to see you soon again.
